date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
00:00.0,1506.0438,91.16038714,26.19939625,0.092864,,148.96,69,934.15,308.35,950.28
00:00.0,1547.815,96.42767965,28.17579896,0.102521,,,,,,
00:00.0,1557.8838,89.73967948,30.19987801,0.137873,,,,,,
00:00.0,1633.38,87.94812005,28.65602988,0.201431,,153.01,68.94,949.04,307.19,958.69
00:00.0,1700.1775,87.50244391,30.06259064,0.160441,,153.99,69.04,952.82,321.26,956.71
00:00.0,1747.3175,88.41058887,32.15007481,0.187175,,153.26,69.31,948.95,325.22,954.84
00:00.0,1808.7788,88.45664874,30.35577464,0.182093,,153.95,68.46,947.62,323.1,955.89
00:00.0,1700.7725,88.18109149,29.04581717,0.204731,,156.1,68.38,961.35,324.81,955.14
00:00.0,1751.73,89.13893168,28.04984351,0.214357,,,,,,
00:00.0,1767.7088,90.05504056,28.63876998,0.221262,,,,,,
00:00.0,1696.13,90.5041316,25.43481705,0.261789,,155.7,68.43,957.97,315.88,959.22
00:00.0,1716.315,87.09148558,23.45749169,0.339733,,155.47,69.41,966.07,317.01,964.61
00:00.0,1804.4513,88.21316751,25.56966936,0.405379,,150.25,67.48,944.76,306.11,942.17
00:00.0,1889.4088,96.62584623,28.12199963,0.363136,,152.54,67.71,958.49,313.06,950.5
00:00.0,1972.9013,122.162783,27.35771614,0.341917,,153.06,67.69,959.84,310.83,954.65
00:00.0,2043.42,123.0282031,27.46551568,0.353756,,,,,,
00:00.0,2053.8788,148.6573205,26.13360095,0.338757,,,,,,
00:00.0,2109.3963,153.9900638,24.39283054,0.316974,,153.99,68.45,970.67,310.35,964.07
00:00.0,2292.7025,171.0800283,31.66182981,0.332185,,153.8,68.68,971.54,303.86,970.55
00:00.0,2448.1313,190.4258132,34.86116225,0.303762,,153.34,68.77,980.35,310.22,977.61
00:00.0,2366.9725,176.8178151,28.712406,0.250816,,153.87,69.62,993.38,316.83,991.86
00:00.0,2262.36,162.9444864,24.0331527,0.271538,,153.61,69.96,995.78,325.14,993.27
00:00.0,2082.845,159.0552476,23.47597559,0.213315,,,,,,
00:00.0,2219.4875,172.3406699,23.97925576,0.231631,,,,,,
00:00.0,2286.2663,196.0785933,25.8742023,0.230942,,,,,,
00:00.0,2167.6438,230.7983714,23.99421439,0.205543,,153.67,70.41,996.7,335.1,996.17
00:00.0,2329.0775,231.3721267,24.99562507,0.247677,,152.76,69.84,994.62,341.01,987.09
00:00.0,2436.0363,221.8280712,27.94343084,0.333491,,153.18,70.1,995.95,340.37,988.29
00:00.0,2514.2275,224.3167055,28.61918393,0.304602,,155.45,71.76,1006.73,339.85,996.12
00:00.0,2562.54,225.3975944,27.48563662,0.282311,,,,,,
00:00.0,2556.405,247.4275411,27.69338744,0.297987,,,,,,
00:00.0,2721.5525,248.9301252,30.51857791,0.294139,,153.93,72.28,1011.34,347.32,1003.88
00:00.0,,266.1397081,30.64884723,0.285504,,154.45,72.52,1003,352.85,996.68
29:55.7,2903.4438,,,,,,,,,
00:00.0,2716.0588,256.2189234,28.48473627,0.282413,,155.37,72.39,1010.07,359.65,1001.59
00:00.0,,260.3415097,30.22377481,0.289515,,154.99,71.95,1010.27,370,1004.28
39:21.7,2824.2038,,,,,,,,,
00:00.0,2817.0638,280.333548,29.56985003,0.286557,,148.98,70.32,978.31,357.32,970.12
00:00.0,2937.4538,337.7921755,30.04467211,0.261162,,,,,,
00:00.0,3013.7138,341.0796489,33.39553174,0.272619,,,,,,
00:00.0,2701.255,398.4307851,29.02408272,0.254826,,145.42,69.78,964.91,359.01,961.81
00:00.0,2736.1888,389.9448222,30.13446706,0.266639,,146.59,70.65,980.79,375.95,970.5
00:00.0,2503.401273,347.7813577,30.16963301,0.277881,,145.16,70.27,976.47,380.66,967.93
00:00.0,2444.493712,346.3690699,29.99161907,0.258172,,144.29,69.9,964.17,375.34,960.18
00:00.0,2513.810348,358.2845169,35.25251283,0.262451,,142.27,70,987.71,371.4,958.62
00:00.0,2683.571344,372.357011,47.75425397,0.26828,,,,,,
00:00.0,2577.219361,359.4387121,46.26067119,0.284225,,,,,,
00:00.0,2620.136451,362.0442891,49.97706304,0.290239,,146.34,70.87,995.17,369.8,975.22
00:00.0,2777.792656,358.0532311,48.04147429,0.325172,,145.01,69.91,992.59,372.24,968.99
00:00.0,2717.003108,327.8909357,47.64519341,0.292925,,145.87,70.27,1002.23,376.4,978.59
00:00.0,2724.912213,326.959814,47.87609892,0.299346,,145.63,70.26,1001.3,382.61,976.62
00:00.0,2737.746231,331.9138051,47.95754866,0.320574,,146.28,71.21,1003.74,383.45,986.09
00:00.0,2618.416736,310.0546284,44.67763185,0.310808,,,,,,
00:00.0,2606.863235,288.0470263,44.72055623,0.298092,,,,,,
00:00.0,2488.194163,258.9194627,40.96865144,0.275927,,145.82,70.53,993.98,377.49,972.09
00:00.0,2531.348999,280.8130147,40.14372044,0.27538,,143.73,69.21,976.78,362.37,948.09
00:00.0,2575.43777,317.2936775,42.64025766,0.2809,,145.83,69.8,990.33,371.24,961.01
00:00.0,2561.681435,300.1821526,41.69043154,0.269185,,143.68,68.49,975.93,360.75,937.82
00:00.0,2490.753488,284.6910833,41.12207781,0.262806,,144.02,68.93,968,361.61,929.68
00:00.0,2439.82056,262.4780734,39.66735061,0.255292,,,,,,
00:00.0,2518.545694,286.133607,41.74012533,0.259801,,,,,,
00:00.0,2576.714657,278.5971953,46.46190525,0.259848,,143.5,68.17,953.66,352.62,919.46
00:00.0,2610.997575,269.7366306,54.94055714,0.254387,,,,,,
00:00.0,2607.219302,265.9369455,53.18472546,0.255837,,144.09,69.08,971.4,327.09,932.26
00:00.0,2612.670428,267.4697236,51.34961527,0.254885,,142.73,68.57,965.14,308.83,927.69
00:00.0,2509.21821,241.4766205,46.91019659,0.239652,,144.18,69.46,978.76,313.22,940.81
00:00.0,2563.195514,246.214971,52.22538089,0.236171,,,,,,
00:00.0,2519.217392,238.7543185,49.13912041,0.234352,,,,,,
00:00.0,2363.515682,210.5281973,46.12232233,0.20535,,145.06,69.98,996.47,316.05,951
00:00.0,2353.910661,194.3349365,45.17531656,0.186181,,145.53,69.99,994.13,327.22,953.53
00:00.0,2387.328912,222.1388562,48.11205348,0.205163,,145.74,71.15,1006.51,329.52,967.66
00:00.0,2364.321266,206.4132504,46.32610553,0.202281,,147.77,71.77,1000.63,323.41,968.85
00:00.0,2228.728791,197.9694524,42.47270435,0.189839,,149.04,72.78,1001.81,327.78,976.91
00:00.0,2033.291088,171.7774409,39.35991647,0.171654,,,,,,
00:00.0,1927.099066,156.4689916,40.97772265,0.144688,,,,,,
00:00.0,2181.286081,188.3527773,42.23544371,0.176842,,149.56,73.35,1010.04,319.57,975.96
00:00.0,2303.889355,228.50328,43.96968266,0.18925,,150.08,73.3,1024.45,328.24,986.95
00:00.0,2274.621365,199.5905155,40.80831185,0.16227,,151.02,73.86,1026.87,325.26,992.77
00:00.0,2766.825119,223.4613484,44.55947781,0.187339,,150.34,74.22,1028.7,329.92,992.19
00:00.0,2658.074912,217.086474,45.68116176,0.182354,,150.27,73.79,1025.67,328.4,993.84
00:00.0,2802.347887,231.1435289,46.53643287,0.19439,,,,,,
00:00.0,2731.604007,226.7185993,44.35164193,0.194755,,,,,,
00:00.0,2751.34707,224.9134071,44.68535423,0.191998,,152.09,73.6,1038.95,342.52,998.31
00:00.0,2563.747895,206.8105048,42.27705394,0.176387,,152.74,74.19,1039.87,339.6,969.03
00:00.0,2507.389685,200.3285558,41.79791534,0.173817,,153.46,74.05,1052.8,343.85,965.31
00:00.0,2649.441201,203.1893218,42.01199566,0.173468,,150.56,73.16,1046,334.46,952.51
00:00.0,2798.829313,192.5856839,40.61344391,0.165379,,149.5,73.04,1020.04,335.07,958.33
00:00.0,2720.102263,205.5111192,41.08911835,0.168693,,,,,,
00:00.0,2740.323592,197.1989635,40.33551669,0.165704,,,,,,
00:00.0,2871.368015,203.2871963,43.25623142,0.167145,,148.73,72.7,987.78,323.47,945.5
