date,AAPL,MSFT,AMZN,TSLA,GOOGL
5/05/2017,148.96,69,934.15,308.35,950.28
8/05/2017,153.01,68.94,949.04,307.19,958.69
9/05/2017,153.99,69.04,952.82,321.26,956.71
10/05/2017,153.26,69.31,948.95,325.22,954.84
11/05/2017,153.95,68.46,947.62,323.1,955.89
12/05/2017,156.1,68.38,961.35,324.81,955.14
15/05/2017,155.7,68.43,957.97,315.88,959.22
16/05/2017,155.47,69.41,966.07,317.01,964.61
17/05/2017,150.25,67.48,944.76,306.11,942.17
18/05/2017,152.54,67.71,958.49,313.06,950.5
19/05/2017,153.06,67.69,959.84,310.83,954.65
22/05/2017,153.99,68.45,970.67,310.35,964.07
23/05/2017,153.8,68.68,971.54,303.86,970.55
24/05/2017,153.34,68.77,980.35,310.22,977.61
25/05/2017,153.87,69.62,993.38,316.83,991.86
26/05/2017,153.61,69.96,995.78,325.14,993.27
30/05/2017,153.67,70.41,996.7,335.1,996.17
31/05/2017,152.76,69.84,994.62,341.01,987.09
1/06/2017,153.18,70.1,995.95,340.37,988.29
2/06/2017,155.45,71.76,1006.73,339.85,996.12
5/06/2017,153.93,72.28,1011.34,347.32,1003.88
6/06/2017,154.45,72.52,1003,352.85,996.68
7/06/2017,155.37,72.39,1010.07,359.65,1001.59
8/06/2017,154.99,71.95,1010.27,370,1004.28
9/06/2017,148.98,70.32,978.31,357.32,970.12
12/06/2017,145.42,69.78,964.91,359.01,961.81
13/06/2017,146.59,70.65,980.79,375.95,970.5
14/06/2017,145.16,70.27,976.47,380.66,967.93
15/06/2017,144.29,69.9,964.17,375.34,960.18
16/06/2017,142.27,70,987.71,371.4,958.62
19/06/2017,146.34,70.87,995.17,369.8,975.22
20/06/2017,145.01,69.91,992.59,372.24,968.99
21/06/2017,145.87,70.27,1002.23,376.4,978.59
22/06/2017,145.63,70.26,1001.3,382.61,976.62
23/06/2017,146.28,71.21,1003.74,383.45,986.09
26/06/2017,145.82,70.53,993.98,377.49,972.09
27/06/2017,143.73,69.21,976.78,362.37,948.09
28/06/2017,145.83,69.8,990.33,371.24,961.01
29/06/2017,143.68,68.49,975.93,360.75,937.82
30/06/2017,144.02,68.93,968,361.61,929.68
3/07/2017,143.5,68.17,953.66,352.62,919.46
5/07/2017,144.09,69.08,971.4,327.09,932.26
6/07/2017,142.73,68.57,965.14,308.83,927.69
7/07/2017,144.18,69.46,978.76,313.22,940.81
10/07/2017,145.06,69.98,996.47,316.05,951
11/07/2017,145.53,69.99,994.13,327.22,953.53
12/07/2017,145.74,71.15,1006.51,329.52,967.66
13/07/2017,147.77,71.77,1000.63,323.41,968.85
14/07/2017,149.04,72.78,1001.81,327.78,976.91
17/07/2017,149.56,73.35,1010.04,319.57,975.96
18/07/2017,150.08,73.3,1024.45,328.24,986.95
19/07/2017,151.02,73.86,1026.87,325.26,992.77
20/07/2017,150.34,74.22,1028.7,329.92,992.19
21/07/2017,150.27,73.79,1025.67,328.4,993.84
24/07/2017,152.09,73.6,1038.95,342.52,998.31
25/07/2017,152.74,74.19,1039.87,339.6,969.03
26/07/2017,153.46,74.05,1052.8,343.85,965.31
27/07/2017,150.56,73.16,1046,334.46,952.51
28/07/2017,149.5,73.04,1020.04,335.07,958.33
31/07/2017,148.73,72.7,987.78,323.47,945.5
1/08/2017,150.05,72.58,996.19,319.57,946.56
2/08/2017,157.14,72.26,995.89,325.89,947.64
3/08/2017,155.57,72.15,986.92,347.09,940.3
4/08/2017,156.39,72.68,987.58,356.91,945.79
7/08/2017,158.81,72.4,992.27,355.17,945.75
8/08/2017,160.08,72.79,989.84,365.22,944.19
9/08/2017,161.06,72.47,982.01,363.53,940.08
10/08/2017,155.32,71.41,956.92,355.4,923.59
11/08/2017,157.48,72.5,967.99,357.87,930.09
14/08/2017,159.85,73.59,983.3,363.8,938.93
15/08/2017,161.6,73.22,982.74,362.33,938.08
16/08/2017,160.95,73.65,978.18,362.91,944.27
17/08/2017,157.86,72.4,960.57,351.92,927.66
18/08/2017,157.5,72.49,958.47,347.46,926.18
21/08/2017,157.21,72.15,953.29,337.86,920.87
22/08/2017,159.78,73.16,966.9,341.35,940.4
23/08/2017,159.98,72.72,958,352.77,942.58
24/08/2017,159.27,72.69,952.45,352.93,936.89
25/08/2017,159.86,72.82,945.26,348.05,930.5
28/08/2017,161.47,72.83,946.02,345.66,928.13
29/08/2017,162.91,73.05,954.06,347.36,935.75
30/08/2017,163.35,74.01,967.59,353.18,943.63
31/08/2017,164,74.77,980.6,355.9,955.24
1/09/2017,164.05,73.94,978.25,355.4,951.99
5/09/2017,162.08,73.61,965.27,349.59,941.48
6/09/2017,161.91,73.4,967.8,344.53,942.02
7/09/2017,161.26,74.34,979.47,350.61,949.89
8/09/2017,158.63,73.98,965.9,343.4,941.41
11/09/2017,161.5,74.76,977.96,363.69,943.29
12/09/2017,160.86,74.68,982.58,362.75,946.65
13/09/2017,159.65,75.21,999.6,366.23,950.44
14/09/2017,158.28,74.77,992.21,377.64,940.13
15/09/2017,159.88,75.31,986.79,379.81,935.29
18/09/2017,158.67,75.16,974.19,385,929.75
19/09/2017,158.73,75.44,969.86,375.1,936.86
20/09/2017,156.07,74.94,973.21,373.91,947.54
21/09/2017,153.39,74.21,964.65,366.48,947.55
22/09/2017,151.89,74.41,955.1,351.09,943.26
25/09/2017,150.55,73.26,939.79,344.99,934.28
26/09/2017,153.14,73.26,938.6,345.25,937.43
27/09/2017,154.23,73.85,950.87,340.97,959.9
28/09/2017,153.28,73.87,956.4,339.6,964.81
29/09/2017,154.12,74.49,961.35,341.1,973.72
2/10/2017,153.81,74.61,959.19,341.53,967.47
3/10/2017,154.48,74.26,957.1,348.14,972.08
4/10/2017,153.48,74.69,965.45,355.01,966.78
5/10/2017,155.39,75.97,980.85,355.33,985.19
6/10/2017,155.3,76,989.58,356.88,993.64
9/10/2017,155.84,76.29,990.99,342.94,992.31
10/10/2017,155.9,76.29,987.2,355.59,987.8
