,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
2017-05-05,146.76,148.98,146.76,148.96,27359822,157911,148.248475,68.88,69.03,68.485,69.0,19128782,94910,68.801152,940.45,940.79,930.3,934.15,2866397,43820,933.113819,298.0,308.55,296.8,308.35,8177347,72817,304.19737,956.72,958.4395,948.0986,950.28,1615552,27628,951.150919
2017-05-08,149.03,153.7,149.03,153.01,48864610,255930,152.033116,69.0,69.05,68.42,68.94,18566087,92484,68.759393,940.95,949.05,939.21,949.04,3415840,50768,943.850905,310.59,313.79,305.82,307.19,7006621,63055,309.520403,948.0,960.99,947.395,958.69,1876702,27557,955.186442
2017-05-09,153.88,154.88,153.45,153.99,39135644,221722,154.114338,68.86,69.28,68.68,69.04,22858414,113664,69.014465,952.8,957.89,950.2,952.82,3262163,52332,953.679457,309.38,321.99,309.1,321.26,9676663,85320,318.37498,961.33,962.2,954.4,956.71,1687942,26911,957.750993
2017-05-10,153.63,153.94,152.11,153.26,25807492,156839,153.101049,68.99,69.56,68.92,69.31,17977830,105373,69.213249,953.5,953.7499,945.0,948.95,2096698,38958,948.761338,321.56,325.5,318.12,325.22,5741949,51213,322.893042,956.22,956.71,949.84,954.84,1145969,20403,953.354498
2017-05-11,152.69,154.07,152.31,153.95,27259011,137633,153.193138,68.35,68.73,68.12,68.46,28790575,140149,68.35458,945.64,950.29,940.775,947.62,2194076,37080,945.715441,323.96,326.0,319.6,323.1,4754143,44490,322.82116,951.29,957.99,948.61,955.89,1031103,19407,954.101288
2017-05-12,155.0,156.42,154.67,156.1,32530763,187418,155.850615,68.58,68.61,68.04,68.38,18745916,95945,68.307692,954.62,962.79,951.53,961.35,3625957,55809,958.097569,325.48,327.0,321.53,324.81,4121615,36579,324.591283,957.85,957.98,952.06,955.14,1214860,21164,955.275004
2017-05-15,156.01,156.65,155.05,155.7,26145928,141092,155.617311,68.14,68.48,67.57,68.43,31730678,145452,68.113387,958.68,963.15,956.055,957.97,4280825,62545,958.629019,318.25,320.2,312.53,315.88,7624204,73508,316.11545,955.29,962.7,952.82,959.22,1345497,22357,959.114651
2017-05-16,156.0,156.06,154.72,155.47,20051784,129338,155.33375,68.26,69.44,68.16,69.41,34956538,171018,69.010875,961.0,970.06,960.91,966.07,3126076,48654,966.061934,317.59,320.06,315.14,317.01,4152484,36956,317.537545,963.55,965.8955,960.35,964.61,1115456,20141,963.48166
2017-05-17,153.94,154.57,149.71,150.25,50891790,320871,151.538468,68.9,69.1,67.43,67.48,30730859,178473,68.0808,954.18,960.3957,944.12,944.76,5155122,91175,952.765502,314.58,314.63,305.5,306.11,6731940,66433,309.0092,959.7,960.99,940.06,942.17,2456093,43505,949.608982
2017-05-18,151.25,153.34,151.13,152.54,33568227,205659,152.459673,67.37,68.13,67.14,67.71,25201589,161030,67.739105,944.81,962.75,944.76,958.49,3939347,63154,955.971784,307.0,313.94,305.31,313.06,5653801,51101,310.814678,943.2,954.18,941.27,950.5,1800465,33946,948.843819
2017-05-19,153.43,153.98,152.63,153.06,26961313,148520,153.33186,67.5,68.095,67.43,67.69,26961419,116879,67.755265,962.93,968.92,959.72,959.84,3972374,53954,964.802863,315.55,316.5,310.2,310.83,4707573,40940,313.131615,952.82,959.56,952.0,954.65,1360299,22812,956.521347
2017-05-22,154.06,154.58,152.91,153.99,23265782,128174,153.787714,67.68,68.5,67.5,68.45,16676611,84142,68.247892,963.89,971.38,962.9,970.67,2642425,39909,968.787247,312.8,314.37,306.8,310.35,4329278,38705,309.227584,958.0,964.82,956.56,964.07,1404364,21763,962.50179
2017-05-23,154.9,154.9,153.31,153.8,20026061,126254,153.848834,68.72,68.75,68.38,68.68,15425825,89635,68.580594,975.0,975.2,966.85,971.54,2415594,38827,970.950275,310.46,310.73,303.48,303.86,4318854,41132,306.276011,969.96,974.51,964.5,970.55,1545421,27174,969.990428
2017-05-24,153.84,154.17,152.67,153.34,19219357,115234,153.271087,68.87,68.88,68.45,68.77,14667208,79410,68.666439,975.55,981.0,970.23,980.35,2463082,38149,976.087161,306.75,311.0,305.4,310.22,5041692,46308,308.588437,975.26,978.115,971.6299,977.61,1142488,20142,974.830595
2017-05-25,153.73,154.35,153.03,153.87,19258935,121650,153.811258,69.0,69.88,68.91,69.62,21952183,107323,69.490877,984.84,999.0,982.11,993.38,4822032,71499,993.448194,311.02,316.97,307.81,316.83,5013963,46222,313.442992,979.35,995.78,977.82,991.86,1954151,31998,989.214453
2017-05-26,153.8,154.24,153.31,153.61,21927656,109430,153.679035,69.79,70.22,69.52,69.96,19827923,105856,69.960003,995.0,998.65,989.2491,995.78,3469252,49786,994.546152,317.28,325.49,316.31,325.14,7804452,68034,322.282713,992.0,996.39,987.36,993.27,1636419,27394,992.592027
2017-05-30,153.35,154.43,153.33,153.67,20127651,113956,153.864269,69.79,70.41,69.77,70.41,17072894,92344,70.170292,996.63,1001.2,995.52,996.7,3263349,53548,998.098502,326.0,336.28,325.76,335.1,7783069,70433,332.420089,993.27,997.62,991.3601,996.17,1519487,25058,995.213902
2017-05-31,154.0,154.17,152.38,152.76,24468073,131947,152.933793,70.6,70.74,69.81,69.84,30464515,137257,70.033057,1000.0,1000.12,982.16,994.62,3941785,58936,992.632558,337.69,342.89,335.16,341.01,9964648,84913,338.980416,997.16,999.6,981.68,987.09,1725929,31683,988.109476
2017-06-01,153.15,153.33,152.22,153.18,16412240,112148,152.902075,70.24,70.61,69.451,70.1,21922908,115317,69.906282,998.59,998.99,991.37,995.95,2506541,39400,995.236696,344.07,344.88,337.29,340.37,7613744,67887,340.988547,989.96,993.14,981.29,988.29,1307682,27261,986.691891
2017-06-02,153.6,155.45,152.89,155.45,27776343,167744,154.64335,70.44,71.86,70.24,71.76,35470261,152145,71.359913,999.0,1008.48,995.67,1006.73,3752328,55046,1003.95095,339.97,342.88,335.93,339.85,5593073,53383,340.176307,989.28,996.48,987.07,996.12,1735469,28224,993.340155
2017-06-05,154.41,154.45,153.46,153.93,25331856,157954,153.911946,71.97,72.89,71.81,72.28,33317996,137660,72.420495,1007.23,1013.21,1003.51,1011.34,2719874,42490,1010.014875,338.5,348.44,334.21,347.32,6784368,60366,342.105124,997.89,1007.4011,995.45,1003.88,1378916,24765,1003.521189
2017-06-06,153.89,155.81,153.78,154.45,26626143,151824,154.655683,72.3,72.62,72.27,72.52,31511065,140546,72.465401,1012.0,1016.5,1001.25,1003.0,3346432,52127,1009.696718,344.7,359.4929,339.97,352.85,11086803,97826,353.781909,1003.31,1008.61,994.8,996.68,1552114,27209,1001.913359
2017-06-07,155.0,155.98,154.48,155.37,21069786,129499,155.353764,72.67,72.77,71.95,72.39,22302769,122842,72.316942,1005.95,1010.249,1002.0,1010.07,2823041,44146,1007.372991,356.37,360.5,355.14,359.65,9398787,80097,358.169512,998.82,1003.91,995.81,1001.59,1374097,26581,1000.372522
2017-06-08,155.25,155.54,154.4,154.99,22331086,132007,154.942014,72.42,72.52,71.5,71.95,26179442,136478,71.981665,1012.06,1013.61,1006.11,1010.27,2849536,41066,1009.503297,363.75,371.9,360.22,370.0,9074296,81599,365.889206,1004.23,1005.6,996.62,1004.28,1749173,24303,1001.877863
2017-06-09,155.15,155.19,146.02,148.98,64934952,416036,150.189779,72.02,72.08,68.59,70.32,49188196,287856,70.282896,1012.5,1012.99,927.0,978.31,7653502,138682,985.761969,374.61,376.87,354.8,357.32,17261525,171966,365.68957,1005.5,1005.5,953.37,970.12,3647857,69348,978.198506
2017-06-12,145.57,146.09,142.51,145.42,72307694,455660,144.344802,69.29,69.94,68.13,69.78,47762073,287698,69.223695,966.7,975.95,945.0,964.91,9447242,142373,960.83689,357.99,364.5,350.62,359.01,10523744,102066,357.05965,958.23,968.0,936.795,961.81,4202115,76652,953.984353
2017-06-13,147.15,147.45,145.15,146.59,34165720,209037,146.363819,70.04,70.82,69.96,70.65,25258687,146756,70.5284,977.99,984.5,966.1,980.79,4580073,74247,977.613486,367.67,376.0,366.61,375.95,11811720,106389,371.290415,972.21,977.91,962.01,970.5,2005367,36978,970.898772
2017-06-14,147.48,147.5,143.84,145.16,31531723,217291,145.40677,71.0,71.1,69.43,70.27,25511116,167872,70.449845,988.59,990.34,966.71,976.47,3974915,63727,980.628118,381.07,384.25,376.31,380.66,12818544,115643,380.298933,977.35,979.7,959.5103,967.93,1505486,31847,971.610202
2017-06-15,143.2,144.4798,142.21,144.29,32206050,215385,143.548485,69.47,70.21,68.8,69.9,26128158,152233,69.673477,961.0,965.73,950.86,964.17,5374797,78961,957.415107,372.25,375.46,366.49,375.34,10427180,98223,370.620463,949.38,960.6775,940.37,960.18,2429924,43031,951.668013
2017-06-16,143.75,144.5,142.2,142.27,51022175,196677,143.025594,69.81,70.0252,69.22,70.0,48535333,134946,69.840342,995.09,999.75,982.0,987.71,11489765,152339,991.467265,378.0,378.01,370.1,371.4,6731075,56234,373.184254,959.17,959.95,948.7,958.62,2574717,31465,956.385929
2017-06-19,144.0,146.74,143.66,146.34,32544572,194323,145.772858,70.55,70.945,70.35,70.87,23798565,112289,70.69918,999.7,1017.0,989.9,995.17,5048320,78267,997.006458,374.95,376.7,367.8,369.8,6549332,62988,371.949064,969.65,979.3,968.2,975.22,1468837,27192,974.898666
2017-06-20,146.87,146.87,144.94,145.01,24901666,163502,145.45972,70.69,70.87,69.87,69.91,21512566,114552,70.151153,998.2,1004.88,992.02,992.59,4076830,55863,997.437843,376.67,378.88,369.73,372.24,7441831,72647,373.71843,976.99,980.79,968.2,968.99,1297287,23823,973.824762
2017-06-21,145.5,146.0693,144.61,145.87,21266979,128184,145.562387,70.25,70.62,69.94,70.27,19892294,113853,70.327944,998.28,1002.72,992.6518,1002.23,2962555,44042,997.306051,374.35,376.99,368.02,376.4,4923210,45874,372.60029,970.79,979.67,969.16,978.59,1161690,20975,974.828866
2017-06-22,145.75,146.7,145.1199,145.63,19125115,119253,145.761585,70.45,70.59,69.71,70.26,22965738,128696,70.109895,1002.23,1006.9599,997.2,1001.3,2253433,38265,1002.893448,377.92,385.0,373.57,382.61,7529778,72385,381.782165,976.87,980.5,973.3148,976.62,1009476,19191,977.142977
2017-06-23,145.16,147.16,145.11,146.28,35450971,129656,146.319328,70.09,71.25,69.92,71.21,27619393,108236,70.901479,1002.54,1004.62,998.02,1003.74,2879395,36550,1002.357695,382.45,386.99,379.345,383.45,6445783,55396,383.684336,975.5,986.62,974.46,986.09,1564198,23296,983.237987
2017-06-26,147.23,148.28,145.38,145.82,25693866,161369,146.48047,71.4,71.71,70.445,70.53,19608054,121699,70.912032,1009.14,1009.8,992.0,993.98,3386159,55650,998.628366,386.69,386.95,373.1,377.49,6604146,68243,378.847019,990.0,993.99,970.33,972.09,1517952,29434,978.800542
2017-06-27,145.0,146.16,143.62,143.73,24762006,163291,144.82078,70.11,70.18,69.18,69.21,25215753,158186,69.625194,990.69,998.8,976.0,976.78,3782389,66926,985.243962,376.4,376.4,362.02,362.37,6996399,75982,369.282896,961.6,967.22,947.09,948.09,2443717,49529,955.547428
2017-06-28,143.95,146.11,143.1601,145.83,22083947,148164,145.007783,69.21,69.841,68.79,69.8,25806301,147434,69.445251,979.0,990.68,969.21,990.33,3737571,60292,981.526363,367.56,371.74,362.52,371.24,6306513,62664,368.553043,950.66,963.24,936.16,961.01,2745568,53704,949.233642
